Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,On1A1,On1A2,On1A3,On1A4,Off1A1,Off1A2,Off1A3,Off1A4
,,feeder_habituation_10s,,6,,Cck57-hab,1056.785,3,0,0,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,1056.795,3,0,0,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,1056.800,3,4,0,0,0,0,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,1239.845,4,0,0,1,0,0,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,1239.895,4,0,0,0,0,0,0,1,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,1319.040,4,5,35,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,1319.555,5,4,3,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,1319.595,4,5,35,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,1319.620,5,4,3,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,1323.830,4,0,0,1,0,0,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,1323.895,4,0,0,0,0,0,0,1,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,1325.035,4,5,35,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,1325.050,5,4,3,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,1325.120,4,5,35,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,1325.265,5,4,3,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,1325.465,4,5,35,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,1334.435,5,4,3,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,1337.680,4,5,35,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,1347.680,5,2,0,0,0,0,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,1348.280,2,3,3,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,1348.320,3,0,0,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,1348.335,3,0,0,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,1348.335,3,4,0,0,0,0,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,1348.375,4,5,35,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,1348.400,5,4,3,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,1381.560,4,5,35,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,1381.590,5,4,3,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,1381.635,4,5,35,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,1381.655,5,4,3,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,1619.315,4,5,35,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,1619.750,5,4,3,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,1619.790,4,5,35,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,1619.875,5,4,3,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,1619.915,4,5,35,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,1619.925,5,4,3,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,1662.255,4,5,35,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,1662.465,5,4,3,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,1686.980,4,5,35,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,1687.030,5,4,3,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,1687.310,4,5,35,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,1687.540,5,4,3,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,1689.780,4,5,35,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,1689.840,5,4,3,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,1689.885,4,5,35,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,1689.915,5,4,3,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,1690.085,4,5,35,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,1690.135,5,4,3,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,1700.175,4,5,35,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,1702.085,5,4,3,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,1702.130,4,5,35,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,1702.175,5,4,3,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,1702.250,4,5,35,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,1702.570,5,4,3,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,1702.750,4,5,35,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,1702.775,5,4,3,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,1702.815,4,5,35,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,1702.860,5,4,3,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,1702.950,4,5,35,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,1703.235,5,4,3,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,1703.275,4,5,35,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,1703.330,5,4,3,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,1703.590,4,5,35,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,1709.085,5,4,3,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,1709.130,4,5,35,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,1709.250,5,4,3,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,1709.860,4,5,35,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,1709.910,5,4,3,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,1710.140,4,5,35,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,1710.300,5,4,3,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,1710.525,4,5,35,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,1720.525,5,2,0,0,0,0,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,1721.270,2,3,3,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,1721.310,3,0,0,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,1721.325,3,4,0,0,0,0,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,1721.380,4,5,3,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,1721.420,5,0,0,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,1721.470,5,4,3,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,1791.890,4,5,35,0,0,0,0,0,0,1,0
,,feeder_habituation_10s,,6,,Cck57-hab,1791.910,5,4,3,0,0,1,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,1798.020,4,0,0,1,0,0,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,1798.035,4,0,0,0,0,0,0,1,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,1852.335,4,0,0,1,0,0,0,0,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,1852.360,4,0,0,0,0,0,0,1,0,0,0
,,feeder_habituation_10s,,6,,Cck57-hab,1854.155,4,0,0,1,0,0,0,0,0,0,0
